Année,Ligne,Achalandage
2017,2,9843
,,
2017,12,14750
,,
2017,17,610770
,,
2017,20,257993
,,
2017,22,244229
,,
2017,24,755548
,,
2017,26,1322705
,,
2017,27,324005
,,
2017,31,494138
,,
2017,33,300813
,,
2017,36,153158
,,
2017,37,283083
,,
2017,39,579171
,,
2017,40,485485
,,
2017,41,51519
,,
2017,42,1698226
,,
2017,43,274616
,,
2017,45,162867
,,
2017,46,540120
,,
2017,48,471505
,,
2017,50,451708
,,
2017,52,274439
,,
2017,55,371451
,,
2017,56,437743
,,
2017,58,417268
,,
2017,60,290138
,,
2017,61,399910
,,
2017,63,598797
,,
2017,65,631264
,,
2017,66,317170
,,
2017,70,696299
,,
2017,73,933622
,,
2017,74,331616
,,
2017,76,749951
,,
2017,144,470929
,,
2017,151,1099512
,,
2017,222,142030
,,
2017,252,105904
,,
2017,360,35948
,,
2017,402,22726
,,
2017,404,27031
,,
2017,901,87239
,,
2017,902,168915
,,
2017,903,351102
,,
2017,925,106324
,,
2017,scolaire,1178599
,,
2018,2,16212
,,
2018,12,17760
,,
2018,17,674707
,,
2018,20,283499
,,
2018,22,298637
,,
2018,24,837397
,,
2018,26,1547473
,,
2018,27,353717
,,
2018,31,552132
,,
2018,33,335148
,,
2018,36,183108
,,
2018,37,320601
,,
2018,39,604908
,,
2018,40,545564
,,
2018,41,49804
,,
2018,42,1931849
,,
2018,43,303794
,,
2018,45,298997
,,
2018,46,594701
,,
2018,48,528116
,,
2018,50,509874
,,
2018,52,301571
,,
2018,55,399667
,,
2018,56,482145
,,
2018,58,452564
,,
2018,60,325879
,,
2018,61,443031
,,
2018,63,642519
,,
2018,65,778363
,,
2018,66,332858
,,
2018,70,816214
,,
2018,73,1003722
,,
2018,74,379512
,,
2018,76,886988
,,
2018,144,516853
,,
2018,151,1202487
,,
2018,222,165864
,,
2018,252,112339
,,
2018,360,70859
,,
2018,402,25012
,,
2018,404,10936
,,
2018,901,94242
,,
2018,902,185556
,,
2018,903,404305
,,
2018,925,115173
,,
2018,942,8141
,,
2018,scolaire,953894
,,
2019,2,18536
,,
2019,12,23464
,,
2019,17,692748
,,
2019,20,286720
,,
2019,22,301943
,,
2019,24,863555
,,
2019,26,1701013
,,
2019,27,357030
,,
2019,31,588620
,,
2019,33,346353
,,
2019,36,183918
,,
2019,37,325177
,,
2019,39,608947
,,
2019,40,556413
,,
2019,41,47070
,,
2019,42,2059407
,,
2019,43,308243
,,
2019,45,327082
,,
2019,46,579925
,,
2019,48,529147
,,
2019,50,510553
,,
2019,52,258644
,,
2019,55,389017
,,
2019,56,502576
,,
2019,58,456215
,,
2019,60,328441
,,
2019,61,455954
,,
2019,63,654377
,,
2019,65,873376
,,
2019,66,321733
,,
2019,70,837746
,,
2019,73,985554
,,
2019,74,376065
,,
2019,76,923645
,,
2019,144,503111
,,
2019,151,1192461
,,
2019,222,169391
,,
2019,252,101734
,,
2019,313,13005
,,
2019,360,86974
,,
2019,402,26254
,,
2019,404,9135
,,
2019,901,94022
,,
2019,902,192395
,,
2019,903,420768
,,
2019,925,132281
,,
2019,942,33365
,,
2019,autre,1206
,,
2019,scolaire,952180
,,
2020,2,14017
,,
2020,12,12400
,,
2020,17,357685
,,
2020,20,148458
,,
2020,22,169199
,,
2020,24,471882
,,
2020,26,850503
,,
2020,27,161730
,,
2020,31,293932
,,
2020,33,176346
,,
2020,36,73858
,,
2020,37,192971
,,
2020,39,299685
,,
2020,40,273632
,,
2020,41,22635
,,
2020,42,1133375
,,
2020,43,154632
,,
2020,45,158140
,,
2020,46,269276
,,
2020,48,270707
,,
2020,50,263844
,,
2020,52,120089
,,
2020,55,186301
,,
2020,56,247607
,,
2020,58,216975
,,
2020,60,174300
,,
2020,61,202407
,,
2020,63,397435
,,
2020,65,404189
,,
2020,66,164510
,,
2020,70,414173
,,
2020,73,508428
,,
2020,74,190217
,,
2020,76,480635
,,
2020,144,230816
,,
2020,151,629021
,,
2020,222,96889
,,
2020,252,46396
,,
2020,313,10680
,,
2020,360,71029
,,
2020,402,7676
,,
2020,404,630
,,
2020,901,43966
,,
2020,902,95286
,,
2020,903,188084
,,
2020,925,69963
,,
2020,942,14815
,,
2020,autre,1014
,,
2020,scolaire,631142
,,
2021,2,16757
,,
2021,12,12461
,,
2021,17,333675
,,
2021,20,151168
,,
2021,22,178689
,,
2021,24,493488
,,
2021,26,884960
,,
2021,27,142729
,,
2021,31,301034
,,
2021,33,150197
,,
2021,36,60207
,,
2021,37,216959
,,
2021,39,288919
,,
2021,40,262338
,,
2021,41,19179
,,
2021,42,1260760
,,
2021,43,144024
,,
2021,45,167060
,,
2021,46,276834
,,
2021,48,250138
,,
2021,50,252098
,,
2021,52,121041
,,
2021,55,201434
,,
2021,56,245754
,,
2021,58,197959
,,
2021,60,168313
,,
2021,61,211007
,,
2021,63,410503
,,
2021,65,393910
,,
2021,66,173116
,,
2021,70,440542
,,
2021,73,527534
,,
2021,74,176125
,,
2021,76,503741
,,
2021,144,239024
,,
2021,151,686860
,,
2021,222,97249
,,
2021,252,39633
,,
2021,313,6701
,,
2021,360,53914
,,
2021,402,63
,,
2021,404,4
,,
2021,713,2971
,,
2021,730,7681
,,
2021,744,5779
,,
2021,901,37360
,,
2021,902,92634
,,
2021,903,196009
,,
2021,925,65367
,,
2021,942,18849
,,
2021,autre,339
,,
2021,scolaire,589933
,,
2022,2,17532
,,
2022,12,15208
,,
2022,16,23327
,,
2022,17,465941
,,
2022,20,199249
,,
2022,22,225837
,,
2022,24,617376
,,
2022,26,1229428
,,
2022,27,190726
,,
2022,31,410400
,,
2022,33,207476
,,
2022,36,89069
,,
2022,37,258366
,,
2022,39,405278
,,
2022,40,364206
,,
2022,41,27188
,,
2022,42,1655846
,,
2022,43,201450
,,
2022,45,227466
,,
2022,46,405007
,,
2022,48,345356
,,
2022,50,354833
,,
2022,52,141818
,,
2022,55,266748
,,
2022,56,333465
,,
2022,58,277584
,,
2022,60,231500
,,
2022,61,308455
,,
2022,63,558425
,,
2022,65,574152
,,
2022,66,231826
,,
2022,70,574431
,,
2022,73,689800
,,
2022,74,221933
,,
2022,76,636781
,,
2022,144,320605
,,
2022,151,950518
,,
2022,222,131783
,,
2022,252,47843
,,
2022,313,3926
,,
2022,360,59353
,,
2022,713,13876
,,
2022,730,15892
,,
2022,744,12213
,,
2022,901,51193
,,
2022,902,134386
,,
2022,903,276339
,,
2022,925,84286
,,
2022,942,27976
,,
2022,autre,85
,,
2022,scolaire,631154
,,
2023,2,22467
,,
2023,12,16784
,,
2023,16,56442
,,
2023,17,520189
,,
2023,20,231966
,,
2023,22,265668
,,
2023,24,716083
,,
2023,26,1442700
,,
2023,27,227656
,,
2023,31,460330
,,
2023,33,244122
,,
2023,36,123518
,,
2023,37,317456
,,
2023,39,475074
,,
2023,40,425608
,,
2023,41,31489
,,
2023,42,1900741
,,
2023,43,293732
,,
2023,45,311329
,,
2023,46,530422
,,
2023,48,433990
,,
2023,50,461197
,,
2023,52,187511
,,
2023,55,326520
,,
2023,56,416442
,,
2023,58,355853
,,
2023,60,296688
,,
2023,61,372280
,,
2023,63,669046
,,
2023,65,691102
,,
2023,66,276965
,,
2023,70,718948
,,
2023,73,805360
,,
2023,74,280588
,,
2023,76,738130
,,
2023,144,396373
,,
2023,151,1096892
,,
2023,222,177176
,,
2023,252,56752
,,
2023,313,12674
,,
2023,345,2818
,,
2023,360,76753
,,
2023,713,20041
,,
2023,730,14288
,,
2023,744,21027
,,
2023,901,61207
,,
2023,902,179480
,,
2023,903,340188
,,
2023,925,96186
,,
2023,942,36011
,,
2023,autre,666
,,
2023,scolaire,811525
